,Gls,Sh,SoT,PrgC
0,0.0,5.0,1.0,1.0
1,2.0,4.0,4.0,1.0
2,2.0,5.0,3.0,0.0
3,1.0,4.0,3.0,2.0
4,1.0,1.0,1.0,3.0
5,2.0,6.0,4.0,0.0
6,1.0,4.0,2.0,2.0
7,0.0,2.0,1.0,0.0
8,0.0,6.0,2.0,1.0
9,2.0,3.0,3.0,2.0
10,1.0,1.0,1.0,1.0
11,1.0,3.0,1.0,0.0
12,0.0,5.0,1.0,0.0
13,0.0,1.0,1.0,0.0
14,0.0,4.0,1.0,1.0
16,1.0,4.0,1.0,0.0
17,0.0,6.0,3.0,4.0
18,0.0,3.0,3.0,5.0
19,1.0,3.0,1.0,0.0
20,0.0,4.0,0.0,1.0
22,0.0,4.0,1.0,1.0
23,0.0,4.0,1.0,1.0
24,2.0,6.0,2.0,4.0
25,0.0,4.0,0.0,0.0
26,0.0,4.0,1.0,3.0
27,0.0,3.0,1.0,2.0
28,1.0,4.0,3.0,2.0
29,1.0,6.0,3.0,1.0
30,0.0,4.0,1.0,1.0
31,2.0,6.0,3.0,1.0
32,1.0,4.0,1.0,1.0
33,1.0,3.0,1.0,3.0
35,23.0,132.0,56.0,50.0
